Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
399,25,33.15,25.43,9.78,2.93,7.82,5.24,0,0,0,0,0,11.73,3.91,0,0,0,0,0,0,0,1.3,3.39,1164
400,25,33.15,23.47,11.73,2.93,7.82,5.24,0,0,0,0,0,11.73,3.91,0,0,0,0,0,0,0,1.41,2.83,1172
401,25,34.26,35.46,1,4.74,10.32,3.16,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.97,34.26,1126
402,25,38.25,39.59,1,4.74,10.32,3.16,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.97,38.25,1147
403,25,37.68,39,1,1.26,10.32,3.16,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.97,37.68,1093
404,25,38.25,39.59,1,1.26,10.32,3.16,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.97,38.25,1103
405,25,37.1,38.41,1,4.74,10.32,0.84,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.97,37.1,1214
406,25,37.67,39,1,4.74,10.32,0.84,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.97,37.67,1204
407,25,37.1,38.41,1,1.26,10.32,0.84,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.97,37.1,1145
408,25,41.09,42.54,1,1.26,10.32,0.84,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.97,41.09,1198
409,25,38.25,39.59,1,4.74,5.68,3.16,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.97,38.25,1161
410,25,38.82,40.18,1,4.74,5.68,3.16,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.97,38.82,1180
411,25,38.25,39.59,1,1.26,5.68,3.16,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.97,38.25,1115
412,25,42.24,43.72,1,1.26,5.68,3.16,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.97,42.24,1248
413,25,37.67,39,1,4.74,5.68,0.84,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.97,37.67,1205
414,25,41.66,43.13,1,4.74,5.68,0.84,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.97,41.66,1258
415,25,41.09,42.54,1,1.26,5.68,0.84,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.97,41.09,1156
416,25,41.66,43.13,1,1.26,5.68,0.84,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.97,41.66,1172
417,25,30.99,42.21,1,4.74,10.32,3.16,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.73,30.99,1131
418,25,31.48,42.88,1,4.74,10.32,3.16,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.73,31.48,1131
419,25,30.99,42.21,1,1.26,10.32,3.16,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.73,30.99,1081
420,25,34.43,46.9,1,1.26,10.32,3.16,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.73,34.43,1210
